,,,,,,,HR,MRR,COV
"('sss', 0.1)","('r', 3e-07)","('rr', 0.003)","('r', 5)","('nsne', 20)","('lr', 3e-07)","('mi', 40)",0.0154423119347,0.00785947145974,205
"('sss', 0.1)","('r', 3e-07)","('rr', 0.1)","('r', 10)","('nsne', 15)","('lr', 3e-08)","('mi', 40)",0.0156629163909,0.00786962626804,349
"('sss', 0.1)","('r', 1e-06)","('rr', 0.03)","('r', 100)","('nsne', 70)","('lr', 3e-09)","('mi', 40)",0.0187513787779,0.00861731779998,890
"('sss', 0.1)","('r', 1e-06)","('rr', 0.1)","('r', 20)","('nsne', 100)","('lr', 1e-08)","('mi', 40)",0.0185307743216,0.00860882627924,1503
"('sss', 0.1)","('r', 1e-06)","('rr', 0.3)","('r', 1)","('nsne', 30)","('lr', 3e-08)","('mi', 40)",0.0138980807412,0.00768421347508,43
"('sss', 0.1)","('r', 3e-06)","('rr', 0.003)","('r', 75)","('nsne', 1)","('lr', 1e-09)","('mi', 40)",0.0147804985661,0.0072374019098,669
"('sss', 0.1)","('r', 3e-06)","('rr', 0.3)","('r', 75)","('nsne', 70)","('lr', 1e-09)","('mi', 40)",0.0189719832341,0.00874223945038,799
"('sss', 0.3)","('r', 1e-10)","('rr', 0.03)","('r', 5)","('nsne', 30)","('lr', 3e-08)","('mi', 40)",0.0138980807412,0.00772080580155,431
"('sss', 0.3)","('r', 1e-10)","('rr', 0.03)","('r', 75)","('nsne', None)","('lr', 3e-07)","('mi', 40)",0.0141186851974,0.00635796049429,2652
"('sss', 0.3)","('r', 1e-10)","('rr', 0.1)","('r', 10)","('nsne', 70)","('lr', 1e-06)","('mi', 40)",0.013677476285,0.0075410832029,4215
"('sss', 0.3)","('r', 3e-10)","('rr', 0.001)","('r', 50)","('nsne', None)","('lr', 1e-07)","('mi', 40)",0.0163247297595,0.00717857405481,2955
"('sss', 0.3)","('r', 3e-10)","('rr', 0.001)","('r', 50)","('nsne', 30)","('lr', 3e-07)","('mi', 40)",0.0207368188837,0.0089088308314,1227
"('sss', 0.3)","('r', 1e-09)","('rr', 0.03)","('r', 150)","('nsne', 70)","('lr', 3e-08)","('mi', 40)",0.026251930289,0.010627444595,2173
"('sss', 0.3)","('r', 1e-09)","('rr', 0.1)","('r', 75)","('nsne', 20)","('lr', 3e-06)","('mi', 40)",0.0191925876903,0.00860952661085,1206
"('sss', 0.3)","('r', 1e-09)","('rr', 0.3)","('r', 50)","('nsne', None)","('lr', 1e-06)","('mi', 40)",0.0161041253033,0.00701373350281,2873
"('sss', 0.3)","('r', 1e-08)","('rr', 0.3)","('r', 1)","('nsne', 5)","('lr', 3e-07)","('mi', 40)",0.0141186851974,0.00775092006065,70
"('sss', 0.3)","('r', 1e-08)","('rr', 0.3)","('r', 5)","('nsne', None)","('lr', 3e-07)","('mi', 40)",0.0163247297595,0.00768666463571,775
"('sss', 0.3)","('r', 3e-08)","('rr', 0.03)","('r', 50)","('nsne', None)","('lr', 3e-08)","('mi', 40)",0.0154423119347,0.00773848917462,2958
"('sss', 0.3)","('r', 1e-07)","('rr', 0.001)","('r', 5)","('nsne', 1)","('lr', 3e-07)","('mi', 40)",0.0154423119347,0.00743813445667,875
"('sss', 0.3)","('r', 1e-07)","('rr', 0.003)","('r', 1)","('nsne', 70)","('lr', 1e-08)","('mi', 40)",0.0154423119347,0.0079452620816,61
"('sss', 0.3)","('r', 3e-07)","('rr', 0.3)","('r', 200)","('nsne', 20)","('lr', 1e-06)","('mi', 40)",0.0207368188837,0.00890261538839,1429
"('sss', 0.3)","('r', 1e-06)","('rr', 0.03)","('r', 200)","('nsne', 10)","('lr', 1e-06)","('mi', 40)",0.0172071475844,0.00784712811516,1258
"('sss', 0.3)","('r', 3e-06)","('rr', 0.001)","('r', 10)","('nsne', 1)","('lr', 1e-06)","('mi', 40)",0.0138980807412,0.0079352823562,1081
"('sss', 0.3)","('r', 3e-06)","('rr', 0.1)","('r', 10)","('nsne', None)","('lr', 1e-10)","('mi', 40)",0.0143392896537,0.00779013863064,898
